city,id,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
Āsosa,343292,46,ET,1584512191,13,10.07,34.53,301.3,3.59
Sinnamary,3380290,6,GF,1584512191,82,5.38,-52.95,299.8,5.79
Kamaishi,2112444,75,JP,1584512191,53,39.27,141.88,284.15,3.1
Nurota,1513087,10,UZ,1584512191,42,40.56,65.69,293.15,5.1
Dzhebariki-Khaya,2024626,95,RU,1584512192,86,62.22,135.8,261.2,0.77
Klaksvík,2618795,94,FO,1584512192,64,62.23,-6.59,277.15,7.7
Sola,2134814,83,VU,1584512192,70,-13.88,167.55,302.3,3.24
Xiangxiang,1790471,66,CN,1584512192,56,27.73,112.53,293.6,1.7
Cherskiy,2126199,100,RU,1584512192,95,68.75,161.3,254.8,3.4
Denpasar,1645528,40,ID,1584511913,75,-8.65,115.22,305.15,4.1
Khandyga,2022773,91,RU,1584512193,86,62.67,135.6,261.2,1.47
Eyl,60019,71,SO,1584512193,74,7.98,49.82,299.7,6.74
Grindavik,3416888,90,IS,1584512193,86,63.84,-22.43,273.15,11.3
Mandalgovi,2030065,15,MN,1584512194,28,45.76,106.27,272.9,7.47
Bosaso,64013,99,SO,1584512194,88,11.28,49.18,300.15,4.1
Esna,355449,0,EG,1584512194,66,25.29,32.55,286.15,3.1
Qasigiannguit,3420768,96,GL,1584512194,50,68.82,-51.19,259.15,13.9
Tabory,1490364,4,RU,1584512194,70,58.52,64.55,272.6,3.66
Batagay,2027044,100,RU,1584511926,81,67.63,134.63,255.9,1.86
Awjilah,88533,0,LY,1584512195,46,29.11,21.29,286.1,4.45
Starosubkhangulovo,488618,94,RU,1584512195,89,53.1,57.44,271.8,3.16
Honiara,2108502,20,SB,1584511948,79,-9.43,159.95,302.15,1.5
Probolinggo,1630634,73,ID,1584512195,93,-7.75,113.22,294.2,1.68
Muriti,152497,75,TZ,1584512195,94,-1.98,32.92,293.15,1
Ormara,1168700,0,PK,1584512196,60,25.21,64.64,298,0.89
Warri,2319133,98,NG,1584512196,93,5.52,5.75,298.9,0.77
Alugan,1731248,82,PH,1584512196,67,12.22,125.48,301,3.04
Swan Hill,2147756,30,AU,1584512196,25,-35.34,143.55,307.04,2.68
Staraya Poltavka,489102,0,RU,1584512197,43,50.48,46.48,278.1,1.63
Constantine,2501152,75,DZ,1584512197,87,36.37,6.61,283.15,3.1
Wanaka,2184707,58,NZ,1584512197,74,-44.7,169.15,281.8,3.43
Manacor,2514216,20,ES,1584512197,87,39.57,3.21,287.15,2.1
Zahir Pir,1162275,36,PK,1584512197,17,28.81,70.52,303.6,2.4
Sabang,1214026,82,ID,1584512198,73,5.89,95.32,301.6,5.77
Williams Lake,6182212,99,CA,1584512198,90,52.14,-122.14,270,1.5
Magán,6361748,1,ES,1584512198,93,39.97,-3.93,283.71,1
Rawson,3839307,0,AR,1584512198,70,-43.3,-65.1,288.6,5.22
Sirte,2210554,100,LY,1584512199,77,31.21,16.59,287,6.38
Yakeshi,2033536,33,CN,1584512199,88,49.28,120.73,269.4,6.21
Abbeville,3038789,44,FR,1584512199,94,50.1,1.83,278.71,2.1
Uzunovo,477466,55,RU,1584512200,82,54.54,38.62,275.8,5.92
Patacamaya,3908339,100,BO,1584512200,87,-17.23,-67.92,279.5,1.24
Khani,610864,90,GE,1584512200,93,41.96,42.96,277.15,1.5
Kropotkin,540761,91,RU,1584512200,58,45.44,40.58,274.26,8.17
Adré,245669,100,TD,1584512200,14,13.47,22.2,295.6,9.86
Şereflikoçhisar,301116,16,TR,1584512201,56,38.94,33.54,270.6,7.36
The Valley,3573374,20,AI,1584512135,74,18.22,-63.06,299.15,3.6
Launceston,2160517,90,AU,1584511967,72,-41.45,147.17,291.48,8.2
Misratah,2214846,37,LY,1584512201,76,32.38,15.09,287.7,9.9
Makarov,2123614,92,RU,1584512201,75,48.63,142.8,273.7,6.49
Dharmadam,1272856,20,IN,1584512202,66,11.78,75.43,305.15,1.5
Yamethin,1285899,0,MM,1584512202,19,20.43,96.15,308.4,4.02
Muroto-misakicho,1856392,75,JP,1584512202,48,33.28,134.15,291.15,5.7
Upernavik,3418910,88,GL,1584512203,52,72.79,-56.15,251.7,3.5
Grand Gaube,934479,40,MU,1584512203,70,-20.01,57.66,302.15,3.6
Vila Franca do Campo,3372472,20,PT,1584512203,76,37.72,-25.43,287.15,1.5
Somers,5273614,1,US,1584512109,64,42.64,-87.91,276.48,2.6
Port-Gentil,2396518,75,GA,1584512203,94,-0.72,8.78,300.15,1.5
Boyolangu,1648082,43,ID,1584512204,80,-8.12,111.89,302.1,2.53
Kruisfontein,986717,0,ZA,1584512204,72,-34,24.73,291.8,5.65
Hualmay,3939761,100,PE,1584512204,77,-11.1,-77.61,294.8,1.39
Kėdainiai,598272,90,LT,1584512204,75,55.29,23.97,279.15,3.1
Koumac,2140558,44,NC,1584512204,81,-20.57,164.28,297.3,2.58
Līsakovsk,1521315,0,KZ,1584511982,89,52.54,62.49,269.6,4.57
Mehamn,778707,75,NO,1584512205,92,71.04,27.85,272.15,5.1
Nānākuli,5851349,75,US,1584512205,88,21.39,-158.15,297.15,6.2
Pak Phanang,1608033,20,TH,1584512205,49,8.35,100.2,307.15,3.1
Bandarbeyla,64814,47,SO,1584512205,73,9.49,50.81,299.4,5.33
Yei,363619,100,SS,1584512206,63,4.09,30.68,296.5,1.21
Delhi,1273294,0,IN,1584511610,53,28.67,77.22,298.15,3.6
Vila Velha,3445026,40,BR,1584512206,94,-20.33,-40.29,298.15,1.5
Antsohihy,1068971,71,MG,1584512206,80,-14.88,47.99,301.6,0.58
Pangoa,3933104,100,PE,1584512207,99,-12.12,-73,293.4,0.77
Belmonte,3470137,75,BR,1584512207,94,-15.86,-38.88,297.15,2.1
Moree,2156927,0,AU,1584512207,30,-29.47,149.85,301.15,4.6
Noshiro,2128867,75,JP,1584512207,61,40.2,140.02,282.15,6.2
Bubaque,2374583,0,GW,1584512208,65,11.28,-15.83,298.5,5.84
Mackay,2159220,90,AU,1584512135,65,-21.15,149.2,300.93,9.8
Cassilândia,3466750,16,BR,1584512208,91,-19.11,-51.73,294.5,1.05
Artyom,587207,90,AZ,1584512208,70,40.47,50.33,280.15,8.2
Lompoc,5367788,1,US,1584512208,81,34.64,-120.46,281.15,2.39
Yanam,1252795,20,IN,1584512208,59,16.73,82.22,305.15,2.1
Morón,3430545,90,AR,1584512209,100,-34.65,-58.62,293.15,2.1
Saint-Joseph,6690296,20,RE,1584512209,74,-21.37,55.62,302.15,1.5
Hrubieszów,770966,88,PL,1584512209,78,50.8,23.89,278.2,2.28
Province of Mantua,3174050,0,IT,1584512209,86,45.17,10.78,282.59,1.5
Whitehorse,6180550,40,CA,1584512107,53,60.72,-135.05,269.15,2.1
Varhaug,3132644,75,NO,1584512210,80,58.61,5.65,278.71,3.1
Umba,479071,100,RU,1584512210,98,66.69,34.34,273.3,6.63
Soyo,2236967,98,AO,1584512210,91,-6.13,12.37,298.4,0.6
Hohhot,2036892,33,CN,1584512210,23,40.81,111.65,283.15,13
Glendive,5654391,90,US,1584512210,81,47.11,-104.71,273.15,3.6
Atar,2381334,65,MR,1584512211,38,20.52,-13.05,288.3,5.03
Watsa,204283,97,CD,1584512211,68,3.04,29.54,296.1,0.91
Darnah,87205,0,LY,1584512211,67,32.77,22.64,287.3,8.19
Noormarkku,644436,20,FI,1584512211,86,61.59,21.87,277.15,4.6
Hanzhong,1808857,71,CN,1584512211,24,33.07,107.03,295.2,2.16
Hirara,1862505,20,JP,1584512212,61,24.8,125.28,298.15,6.7
Inverell,2162662,0,AU,1584512212,33,-29.78,151.12,299.26,1.34
Mareeba,2158767,75,AU,1584512212,69,-17,145.43,300.37,6.7
Namtsy,2019488,86,RU,1584512212,61,62.72,129.67,262.15,3
Nanortalik,3421765,46,GL,1584512212,56,60.14,-45.24,267.8,2.19
Progreso,3521108,5,MX,1584512212,69,21.28,-89.67,298.15,6.2
Plettenberg Bay,964712,0,ZA,1584512213,74,-34.05,23.37,292.3,3.08
Katherine,2068655,0,AU,1584512213,34,-14.47,132.27,309.15,5.1
Edd,338345,100,ER,1584512213,71,13.93,41.69,300.3,0.93
Thinadhoo,1337610,16,MV,1584512213,75,0.53,72.93,302.6,5.17
Morton,5690583,90,US,1584512214,86,46.77,-101.26,274.26,2.6
Tromsø,6453316,75,NO,1584512101,96,69.65,18.96,275.15,9.8
Belaya Gora,2126785,84,RU,1584512214,87,68.53,146.42,251.7,3.87
Bongandanga,218229,100,CD,1584512214,84,1.5,21.05,297.1,1.4
Acapulco de Juárez,3533462,5,MX,1584512102,74,16.86,-99.89,301.15,1.5
Patnanungan,1694369,20,PH,1584512215,66,14.78,122.18,299.8,3.87
Tiznit Province,2527087,94,MA,1584512215,91,29.58,-9.5,282,4.47
Kourou,3381303,49,GF,1584512215,94,5.16,-52.65,297.15,0.5
Port Antonio,3489005,20,JM,1584512215,61,18.18,-76.46,300.15,4.1
Nishihara,1855342,75,JP,1584512216,73,26.18,127.76,294.15,8.7
El Alto,3697441,81,PE,1584512216,76,-4.27,-81.21,297.3,1.44
Lichinga,1043893,60,MZ,1584512216,83,-13.31,35.24,296.2,0.94
Tezu,1254709,0,IN,1584512216,25,27.92,96.17,301.5,2.37
Kasongo-Lunda,2315026,99,CD,1584512216,94,-6.47,16.82,294.5,0.75
Ilongero,159186,100,TZ,1584512217,96,-4.67,34.87,289.5,2.29
Iquique,3887127,43,CL,1584512217,68,-20.22,-70.14,295.15,4.1
Pāsighāt,1260206,0,IN,1584512217,40,28.07,95.33,298.3,2.38
Maceió,3395981,75,BR,1584512040,94,-9.67,-35.74,298.15,1
Birao,240210,83,CF,1584512217,14,10.28,22.79,299.4,7.76
Poplar Bluff,4404233,1,US,1584512101,81,36.76,-90.39,284.26,1.91
Merauke,2082539,69,ID,1584511944,68,-8.47,140.33,303.6,2.76
Liverpool,2644210,75,GB,1584512218,93,53.41,-2.98,280.37,5.1
Abu Kamal,174448,85,SY,1584512218,49,34.45,40.92,288.3,9.27
Andira,3401188,100,BR,1584512218,81,-0.74,-47.84,300.6,3.7
São João Evangelista,3448850,35,BR,1584512219,99,-18.55,-42.76,291.1,0.12
Numan,2328617,90,NG,1584512219,9,9.47,12.03,296.6,1.61
Zhezkazgan,1516589,75,KZ,1584512219,67,47.8,67.71,273.15,3
Pichayevo,509649,0,RU,1584512219,63,53.24,42.2,275.5,4.41
Knyaginino,547162,60,RU,1584512219,78,55.82,45.03,276.1,7.07
Rio Grande,3451138,100,BR,1584512220,80,-32.03,-52.1,295.93,2.24
Penzance,2640377,100,GB,1584512079,100,50.12,-5.54,284.26,8.2
Marçon,2995927,90,FR,1584512220,93,47.71,0.51,284.15,0.42
Milyutinskaya,526504,0,RU,1584512220,52,48.63,41.67,278.3,2.71
Norman,4543762,90,US,1584512044,100,35.22,-97.44,286.48,5.7
Rivera,3440781,82,UY,1584512221,94,-30.91,-55.55,292.1,2.84
Tutin,784800,0,RS,1584512221,78,42.99,20.33,276.1,1.96
Ndélé,237379,86,CF,1584512221,24,8.41,20.65,299,1.81
Tikaitnagar,1254536,0,IN,1584512221,24,26.95,81.58,302.3,5.57
Havre-St-Pierre,5972291,90,CA,1584512222,92,50.23,-63.6,272.15,7.7
Cuiluan,2033413,100,CN,1584512222,94,47.72,128.65,272.9,3.7
Chapais,5919850,1,CA,1584512222,71,49.78,-74.85,259.15,1.5
Iracoubo,3381428,6,GF,1584512222,82,5.48,-53.2,299.8,5.79
Semey,1519422,40,KZ,1584512222,76,50.41,80.23,273.15,5
Marystown,6067472,100,CA,1584512223,97,47.17,-55.15,274,11.95
Olavarría,3842670,45,AR,1584512223,93,-36.89,-60.32,288.71,1.47
Mayumba,2399001,100,GA,1584512223,85,-3.43,10.66,300.4,2.51
Murgab,1218612,98,TM,1584512223,54,37.5,61.97,288.15,3.1
Thakurgaon,1185092,0,BD,1584512224,24,26.03,88.47,304.1,4.76
Abohar,1279403,0,IN,1584512224,27,30.15,74.18,301.8,1.37
Cabo San Lucas,3985710,75,MX,1584512057,77,22.89,-109.91,294.82,1.5
Jiayuguan City,1280957,38,CN,1584512225,10,39.82,98.3,288.6,7.08
Verkhoyansk,2013465,96,RU,1584512225,77,67.54,133.38,255.9,2.48
Aranos,3358666,19,NA,1584512225,59,-24.13,19.12,295.3,4.81
Westport,4845585,1,US,1584512225,60,41.14,-73.36,282.15,2.6
Duekoué,2289549,100,CI,1584512226,98,6.75,-7.35,296.5,1.23
Namatanai,2090021,79,PG,1584512226,71,-3.67,152.43,302.4,1.91
Rajshahi,1185128,0,BD,1584512141,22,24.37,88.6,304.3,3.31
Yeniseysk,1485997,96,RU,1584512226,74,58.45,92.17,272.1,8.48
Clonakilty,2965402,75,IE,1584512226,93,51.62,-8.87,277.15,4.6
Ngunguru,2186111,0,NZ,1584512227,66,-35.62,174.5,290.37,2.68
Sarmanovo,498537,87,RU,1584512227,74,55.26,52.59,274.15,5
Buchanan,2278158,75,LR,1584512227,94,5.88,-10.05,297.15,1.5
Arrondissement de Saint-Denis,2980915,75,FR,1584512227,87,48.92,2.33,284.82,1.46
Kuantan,1735227,20,MY,1584512064,70,3.81,103.33,305.15,3.1
Mwinilunga,902620,100,ZM,1584512227,91,-11.74,24.43,291.2,0.61
Emerald,2167426,0,AU,1584512228,33,-23.53,148.17,303.15,6.2
Geraldton,2070998,100,AU,1584512228,38,-28.77,114.6,298.15,7.2
Sanguéya,2416061,0,GN,1584512228,85,10.7,-14.37,296,1.26
Guerrero Negro,4021858,18,MX,1584512228,69,27.98,-114.06,289.6,4.42
Vanavara,2013727,99,RU,1584512229,80,60.34,102.28,266,5.78
Sambava,1056899,0,MG,1584512229,65,-14.27,50.17,302.6,0.75
Chingirlau,610091,0,KZ,1584512229,53,51.09,54.08,277.9,3.96
Puerto Escondido,3520994,2,MX,1584512229,73,15.85,-97.07,294.6,1.29
Jardim,3460087,19,BR,1584512229,89,-21.48,-56.14,295.6,1.26
Salair,1493224,53,RU,1584512230,80,54.23,85.8,271.7,5.82
Ketchikan,5554428,1,US,1584512230,74,55.34,-131.65,277.15,4.6
Bullhead City,5287565,75,US,1584511941,44,35.15,-114.57,289.15,6.2
Arcata,5558953,90,US,1584512230,75,40.87,-124.08,281.15,1.5
Bathsheba,3374083,40,BB,1584512230,73,13.22,-59.52,298.15,6.7
Semīrom,116406,91,IR,1584512231,57,31.42,51.57,279.6,2.87
Lukovetskiy,533418,90,RU,1584512231,97,64.3,41.92,273.15,4
Santa Barbara,5392952,1,US,1584512231,75,34.42,-119.7,282.15,1.5
Paragominas,3393106,48,BR,1584512231,99,-2.97,-47.48,295.3,0.88
Dudinka,1507116,75,RU,1584512045,85,69.41,86.18,263.15,13
Kathmandu,1283240,20,NP,1584512205,43,27.72,85.32,295.15,2.6
Baker City,5712169,90,US,1584512232,81,44.77,-117.83,280.37,2.6
Superior,5275191,90,US,1584512232,80,46.72,-92.1,274.15,2.6
Aberdeen,2657832,100,GB,1584511994,69,57.14,-2.1,277.59,3.6
Requena,2511930,20,ES,1584512232,93,39.49,-1.1,285.37,2.6
George,1002145,20,ZA,1584512233,77,-33.96,22.46,292.15,5.7
Bom Jesus,3405304,50,BR,1584512233,95,-9.07,-44.36,294.7,0.08
Develi,316795,90,TR,1584512233,92,38.39,35.49,269.15,2.1
Haines Junction,5969025,97,CA,1584512233,74,60.75,-137.51,263.5,2.47
Dulce Grande,3974329,5,MX,1584512233,44,23,-102.17,289.15,6.2
Glomfjord,3155487,75,NO,1584512233,83,66.82,13.97,275.15,7.2
Kavaratti,1267390,20,IN,1584512234,70,10.57,72.64,303.15,2.1
Rostovka,1493523,98,RU,1584512234,87,55.38,71.89,271.1,7.54
Novochernorechenskiy,1497132,83,RU,1584512234,71,56.27,91.08,271.9,8.93
Lavrentiya,4031637,46,RU,1584512234,89,65.58,-171,268,5.32
Kasama,912764,100,ZM,1584512234,97,-10.21,31.18,290.8,1.75
Nouadhibou,2377457,53,MR,1584512235,75,20.93,-17.03,289.2,10.88
Bayangol,2027002,1,RU,1584512235,37,50.7,103.47,273.8,2
Druzhba,709584,23,UA,1584512235,88,52.04,33.95,275.7,2.89
Wainwright,6175059,70,CA,1584512235,97,52.84,-110.86,257.3,1.18
Mildura,2157698,2,AU,1584512236,16,-34.2,142.15,308.15,2.6
Dingle,1714733,14,PH,1584512236,60,11,122.67,303.3,6.06
Price,5545269,1,US,1584512236,44,39.6,-110.81,278.71,2.6
Fujin,2037375,93,CN,1584512236,98,47.26,132.03,274,3.7
Macamic,6062563,20,CA,1584512236,84,48.75,-79,257.15,1
Neiafu,4032420,75,TO,1584512237,94,-18.65,-173.98,300.15,3.6
San Jerónimo,3929611,100,PE,1584512237,91,-11.95,-75.28,278.2,1.5
